account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
448,canceled,10-11-2014,14-01-2015,65,TRUE,TRUE
448,canceled,05-11-2014,10-11-2014,5,TRUE,TRUE
448,canceled,27-01-2015,27-01-2015,0,TRUE,TRUE
448,canceled,10-11-2014,10-11-2014,0,TRUE,TRUE
448,current,10-03-2015,,,TRUE,FALSE
448,canceled,14-01-2015,27-01-2015,13,TRUE,TRUE
448,canceled,27-01-2015,10-03-2015,42,TRUE,TRUE
448,canceled,27-01-2015,27-01-2015,0,TRUE,TRUE
448,canceled,27-01-2015,27-01-2015,0,TRUE,TRUE
700,canceled,10-11-2014,16-11-2014,6,FALSE,TRUE
429,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
429,canceled,10-03-2015,17-06-2015,99,FALSE,TRUE
60,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
60,canceled,14-01-2015,01-04-2015,77,FALSE,TRUE
60,current,01-04-2015,,,FALSE,FALSE
1300,canceled,10-11-2014,16-11-2014,6,FALSE,TRUE
369,current,10-11-2014,,,FALSE,FALSE
322,canceled,10-11-2014,02-02-2015,84,FALSE,TRUE
322,canceled,12-02-2015,12-02-2015,0,FALSE,TRUE
322,canceled,12-02-2015,10-03-2015,26,FALSE,TRUE
322,current,10-03-2015,,,FALSE,FALSE
336,current,10-11-2014,,,FALSE,FALSE
553,current,10-11-2014,,,FALSE,FALSE
584,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
584,canceled,14-01-2015,10-03-2015,55,FALSE,TRUE
584,current,10-03-2015,,,FALSE,FALSE
1006,canceled,10-11-2014,17-11-2014,7,FALSE,TRUE
458,canceled,10-11-2014,01-04-2015,142,FALSE,TRUE
458,canceled,04-04-2015,06-04-2015,2,FALSE,TRUE
458,current,06-04-2015,,,FALSE,FALSE
1058,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
1058,canceled,14-01-2015,10-03-2015,55,FALSE,TRUE
1058,current,10-03-2015,,,FALSE,FALSE
206,current,10-11-2014,,,FALSE,FALSE
45,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
45,current,10-03-2015,,,FALSE,FALSE
315,canceled,10-11-2014,17-05-2015,188,FALSE,TRUE
604,current,10-11-2014,,,FALSE,FALSE
204,current,10-11-2014,,,FALSE,FALSE
408,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
408,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
408,canceled,01-04-2015,17-04-2015,16,FALSE,TRUE
51,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
51,canceled,10-03-2015,17-06-2015,99,FALSE,TRUE
323,canceled,10-11-2014,17-04-2015,158,FALSE,TRUE
568,current,10-11-2014,,,FALSE,FALSE
130,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
130,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
130,canceled,01-04-2015,17-06-2015,77,FALSE,TRUE
550,canceled,10-11-2014,02-05-2015,173,FALSE,TRUE
550,canceled,28-05-2015,04-07-2015,37,FALSE,TRUE
44,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
44,current,10-03-2015,,,FALSE,FALSE
1020,canceled,10-11-2014,15-11-2014,5,FALSE,TRUE
838,canceled,10-11-2014,11-11-2014,1,FALSE,TRUE
198,current,10-11-2014,,,FALSE,FALSE
368,current,10-11-2014,,,FALSE,FALSE
440,canceled,11-11-2014,18-02-2015,99,FALSE,TRUE
675,canceled,11-11-2014,16-11-2014,5,FALSE,TRUE
57,canceled,11-11-2014,18-02-2015,99,FALSE,TRUE
57,current,06-05-2015,,,FALSE,FALSE
1090,canceled,11-11-2014,26-11-2014,15,FALSE,TRUE
541,canceled,12-11-2014,19-06-2015,219,FALSE,TRUE
756,canceled,12-11-2014,15-11-2014,3,FALSE,TRUE
756,canceled,15-11-2014,15-01-2015,61,FALSE,TRUE
1219,canceled,12-11-2014,12-11-2014,0,FALSE,TRUE
101,canceled,12-11-2014,20-04-2015,159,FALSE,TRUE
1021,canceled,12-11-2014,17-11-2014,5,FALSE,TRUE
1108,canceled,12-11-2014,16-11-2014,4,FALSE,TRUE
800,canceled,12-11-2014,14-11-2014,2,FALSE,TRUE
800,canceled,04-03-2015,11-05-2015,68,FALSE,TRUE
702,canceled,13-11-2014,15-11-2014,2,FALSE,TRUE
702,canceled,15-11-2014,14-01-2015,60,FALSE,TRUE
702,canceled,14-01-2015,10-03-2015,55,FALSE,TRUE
702,current,10-03-2015,,,FALSE,FALSE
871,canceled,13-11-2014,13-11-2014,0,FALSE,TRUE
38,current,14-11-2014,,,FALSE,FALSE
215,current,14-11-2014,,,FALSE,FALSE
744,canceled,14-11-2014,21-12-2014,37,FALSE,TRUE
217,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
217,canceled,15-11-2014,10-03-2015,115,FALSE,TRUE
217,current,10-03-2015,,,FALSE,FALSE
1221,canceled,14-11-2014,21-11-2014,7,FALSE,TRUE
1211,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
1211,canceled,15-11-2014,15-01-2015,61,FALSE,TRUE
1211,current,06-03-2015,,,FALSE,FALSE
1051,canceled,14-11-2014,16-11-2014,2,FALSE,TRUE
1286,canceled,14-11-2014,21-11-2014,7,FALSE,TRUE
53,canceled,14-11-2014,21-12-2014,37,FALSE,TRUE
53,current,11-05-2015,,,FALSE,FALSE
895,canceled,14-11-2014,19-11-2014,5,FALSE,TRUE
895,canceled,11-11-2014,11-11-2014,0,FALSE,TRUE
283,current,15-11-2014,,,FALSE,FALSE
283,canceled,13-11-2014,15-11-2014,2,FALSE,TRUE
338,canceled,15-11-2014,14-01-2015,60,FALSE,TRUE
338,canceled,14-01-2015,03-02-2015,20,FALSE,TRUE
338,canceled,03-02-2015,22-02-2015,19,FALSE,TRUE
338,current,11-05-2015,,,FALSE,FALSE
579,current,15-11-2014,,,FALSE,FALSE
903,canceled,16-11-2014,21-11-2014,5,FALSE,TRUE
627,current,16-11-2014,,,FALSE,FALSE
253,canceled,16-11-2014,14-01-2015,59,FALSE,TRUE
253,current,14-01-2015,,,FALSE,FALSE
861,canceled,16-11-2014,19-11-2014,3,FALSE,TRUE
178,canceled,17-11-2014,09-05-2015,173,FALSE,TRUE
822,canceled,17-11-2014,15-01-2015,59,FALSE,TRUE
822,current,18-07-2015,,,FALSE,FALSE
96,current,17-11-2014,,,FALSE,FALSE
123,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
123,canceled,10-03-2015,17-04-2015,38,FALSE,TRUE
943,canceled,10-11-2014,17-11-2014,7,FALSE,TRUE
620,current,10-11-2014,,,FALSE,FALSE
1204,canceled,10-11-2014,17-12-2014,37,FALSE,TRUE
195,current,10-11-2014,,,FALSE,FALSE
890,canceled,10-11-2014,11-11-2014,1,FALSE,TRUE
354,current,10-11-2014,,,FALSE,FALSE
837,canceled,10-11-2014,11-11-2014,1,FALSE,TRUE
114,canceled,10-11-2014,11-11-2014,1,FALSE,TRUE
114,current,08-05-2015,,,FALSE,FALSE
810,canceled,10-11-2014,13-11-2014,3,FALSE,TRUE
394,canceled,10-11-2014,17-04-2015,158,FALSE,TRUE
1253,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
1253,canceled,14-01-2015,20-01-2015,6,FALSE,TRUE
504,canceled,10-11-2014,17-06-2015,219,FALSE,TRUE
537,current,10-11-2014,,,FALSE,FALSE
72,canceled,10-11-2014,17-05-2015,188,FALSE,TRUE
268,canceled,10-11-2014,17-12-2014,37,FALSE,TRUE
268,canceled,03-04-2015,10-08-2015,129,FALSE,TRUE
339,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
339,canceled,01-04-2015,17-06-2015,77,FALSE,TRUE
339,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
1244,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
1244,current,10-03-2015,,,FALSE,FALSE
1244,canceled,14-01-2015,10-03-2015,55,FALSE,TRUE
1244,canceled,17-03-2015,27-04-2015,41,FALSE,TRUE
1244,canceled,17-05-2015,17-08-2015,92,FALSE,TRUE
752,canceled,10-11-2014,19-11-2014,9,FALSE,TRUE
194,current,10-11-2014,,,FALSE,FALSE
520,canceled,10-11-2014,17-03-2015,127,FALSE,TRUE
102,current,10-11-2014,,,FALSE,FALSE
367,canceled,11-11-2014,02-04-2015,142,FALSE,TRUE
258,canceled,10-11-2014,17-07-2015,249,FALSE,TRUE
522,current,10-11-2014,,,FALSE,FALSE
1047,canceled,10-11-2014,11-11-2014,1,FALSE,TRUE
329,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
329,canceled,10-03-2015,08-04-2015,29,FALSE,TRUE
329,current,08-04-2015,,,FALSE,FALSE
329,canceled,14-01-2015,03-02-2015,20,FALSE,TRUE
329,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
225,current,10-11-2014,,,FALSE,FALSE
612,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
612,canceled,10-03-2015,17-03-2015,7,FALSE,TRUE
150,canceled,10-11-2014,17-05-2015,188,FALSE,TRUE
179,canceled,10-11-2014,17-03-2015,127,FALSE,TRUE
595,current,10-11-2014,,,FALSE,FALSE
587,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
587,canceled,14-01-2015,17-04-2015,93,FALSE,TRUE
587,current,28-05-2015,,,FALSE,FALSE
439,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
439,current,10-03-2015,,,FALSE,FALSE
428,current,10-11-2014,,,FALSE,FALSE
18,canceled,10-11-2014,17-02-2015,99,FALSE,TRUE
544,canceled,10-11-2014,17-05-2015,188,FALSE,TRUE
10,current,10-11-2014,,,FALSE,FALSE
913,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
913,canceled,14-01-2015,17-02-2015,34,FALSE,TRUE
23,current,10-11-2014,,,FALSE,FALSE
576,canceled,10-11-2014,17-02-2015,99,FALSE,TRUE
431,canceled,10-11-2014,17-03-2015,127,FALSE,TRUE
223,current,10-11-2014,,,FALSE,FALSE
480,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
480,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
480,current,01-04-2015,,,FALSE,FALSE
525,canceled,10-11-2014,17-07-2015,249,FALSE,TRUE
1111,canceled,11-11-2014,10-03-2015,119,FALSE,TRUE
1111,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
1111,canceled,01-04-2015,18-04-2015,17,FALSE,TRUE
1107,canceled,11-11-2014,19-11-2014,8,FALSE,TRUE
577,canceled,12-11-2014,19-01-2015,68,FALSE,TRUE
577,canceled,05-02-2015,12-07-2015,157,FALSE,TRUE
92,canceled,12-11-2014,19-07-2015,249,FALSE,TRUE
335,canceled,12-11-2014,19-05-2015,188,FALSE,TRUE
275,canceled,12-11-2014,16-11-2014,4,FALSE,TRUE
275,current,16-11-2014,,,FALSE,FALSE
930,canceled,13-11-2014,17-11-2014,4,FALSE,TRUE
245,current,14-11-2014,,,FALSE,FALSE
135,current,14-11-2014,,,FALSE,FALSE
37,current,14-11-2014,,,FALSE,FALSE
740,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
740,canceled,11-11-2014,13-11-2014,2,FALSE,TRUE
186,current,14-11-2014,,,FALSE,FALSE
389,current,15-11-2014,,,FALSE,FALSE
389,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
1218,canceled,15-11-2014,15-11-2014,0,FALSE,TRUE
693,canceled,15-11-2014,14-01-2015,60,FALSE,TRUE
693,canceled,14-01-2015,23-01-2015,9,FALSE,TRUE
770,canceled,15-11-2014,19-11-2014,4,FALSE,TRUE
88,canceled,15-11-2014,10-03-2015,115,FALSE,TRUE
88,current,01-04-2015,,,FALSE,FALSE
88,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
845,canceled,16-11-2014,23-11-2014,7,FALSE,TRUE
983,canceled,16-11-2014,14-01-2015,59,FALSE,TRUE
983,canceled,14-01-2015,23-01-2015,9,FALSE,TRUE
1118,canceled,17-11-2014,24-12-2014,37,FALSE,TRUE
1118,canceled,12-11-2014,17-11-2014,5,FALSE,TRUE
499,canceled,17-11-2014,17-11-2014,0,FALSE,TRUE
499,canceled,06-02-2015,13-05-2015,96,FALSE,TRUE
590,canceled,03-12-2014,03-02-2015,62,FALSE,TRUE
590,current,11-05-2015,,,FALSE,FALSE
590,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
264,canceled,03-12-2014,03-02-2015,62,FALSE,TRUE
264,canceled,03-02-2015,25-02-2015,22,FALSE,TRUE
300,current,03-12-2014,,,FALSE,FALSE
54,current,03-12-2014,,,FALSE,FALSE
1043,canceled,03-12-2014,04-12-2014,1,FALSE,TRUE
1130,canceled,03-12-2014,25-01-2015,53,FALSE,TRUE
654,canceled,04-12-2014,04-12-2014,0,FALSE,TRUE
654,canceled,04-12-2014,04-12-2014,0,FALSE,TRUE
654,canceled,03-12-2014,03-12-2014,0,FALSE,TRUE
736,canceled,04-12-2014,11-03-2015,97,FALSE,TRUE
964,canceled,04-12-2014,04-12-2014,0,FALSE,TRUE
976,canceled,04-12-2014,11-01-2015,38,FALSE,TRUE
1203,canceled,04-12-2014,09-12-2014,5,FALSE,TRUE
278,current,04-12-2014,,,FALSE,FALSE
377,current,05-12-2014,,,FALSE,FALSE
342,current,05-12-2014,,,FALSE,FALSE
358,current,05-12-2014,,,FALSE,FALSE
316,canceled,06-12-2014,13-06-2015,189,FALSE,TRUE
347,canceled,07-12-2014,14-03-2015,97,FALSE,TRUE
347,current,05-04-2015,,,FALSE,FALSE
295,canceled,07-12-2014,07-12-2014,0,FALSE,TRUE
295,current,03-04-2015,,,FALSE,FALSE
343,canceled,07-12-2014,14-03-2015,97,FALSE,TRUE
1127,canceled,07-12-2014,08-12-2014,1,FALSE,TRUE
1076,canceled,08-12-2014,12-12-2014,4,FALSE,TRUE
502,current,08-12-2014,,,FALSE,FALSE
502,canceled,15-11-2014,21-11-2014,6,FALSE,TRUE
1223,canceled,08-12-2014,13-12-2014,5,FALSE,TRUE
221,canceled,03-12-2014,10-02-2015,69,FALSE,TRUE
631,canceled,03-12-2014,08-12-2014,5,FALSE,TRUE
631,canceled,08-05-2015,15-07-2015,68,FALSE,TRUE
495,current,04-12-2014,,,FALSE,FALSE
495,canceled,12-11-2014,17-11-2014,5,FALSE,TRUE
1009,canceled,05-12-2014,12-02-2015,69,FALSE,TRUE
364,current,05-12-2014,,,FALSE,FALSE
1252,canceled,05-12-2014,11-12-2014,6,FALSE,TRUE
909,canceled,05-12-2014,28-12-2014,23,FALSE,TRUE
1156,canceled,06-12-2014,08-12-2014,2,FALSE,TRUE
524,canceled,06-12-2014,03-02-2015,59,FALSE,TRUE
524,current,04-03-2015,,,FALSE,FALSE
560,current,06-12-2014,,,FALSE,FALSE
570,current,07-12-2014,,,FALSE,FALSE
581,current,07-12-2014,,,FALSE,FALSE
759,canceled,08-12-2014,03-02-2015,57,FALSE,TRUE
759,canceled,08-04-2015,15-04-2015,7,FALSE,TRUE
759,canceled,03-02-2015,08-04-2015,64,FALSE,TRUE
896,canceled,08-12-2014,03-02-2015,57,FALSE,TRUE
896,canceled,10-03-2015,08-04-2015,29,FALSE,TRUE
896,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
896,current,08-04-2015,,,FALSE,FALSE
346,current,08-12-2014,,,FALSE,FALSE
346,canceled,05-12-2014,05-12-2014,0,FALSE,TRUE
411,canceled,08-12-2014,03-02-2015,57,FALSE,TRUE
411,canceled,10-03-2015,08-04-2015,29,FALSE,TRUE
411,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
411,canceled,08-04-2015,15-06-2015,68,FALSE,TRUE
705,canceled,08-12-2014,14-12-2014,6,FALSE,TRUE
705,canceled,08-04-2015,28-04-2015,20,FALSE,TRUE
776,canceled,08-12-2014,03-02-2015,57,FALSE,TRUE
557,canceled,08-12-2014,03-02-2015,57,FALSE,TRUE
557,current,10-03-2015,,,FALSE,FALSE
557,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
1234,canceled,09-12-2014,14-12-2014,5,FALSE,TRUE
634,canceled,09-12-2014,16-06-2015,189,FALSE,TRUE
1124,canceled,09-12-2014,03-02-2015,56,FALSE,TRUE
1124,current,08-04-2015,,,FALSE,FALSE
1124,canceled,03-02-2015,08-04-2015,64,FALSE,TRUE
932,canceled,09-12-2014,16-01-2015,38,FALSE,TRUE
817,canceled,09-12-2014,09-12-2014,0,FALSE,TRUE
169,canceled,09-12-2014,14-12-2014,5,FALSE,TRUE
169,canceled,05-02-2015,12-08-2015,188,FALSE,TRUE
350,current,07-01-2015,,,FALSE,FALSE
345,current,07-01-2015,,,FALSE,FALSE
1171,canceled,07-01-2015,07-01-2015,0,FALSE,TRUE
530,current,07-01-2015,,,FALSE,FALSE
383,current,07-01-2015,,,FALSE,FALSE
1271,canceled,07-01-2015,13-01-2015,6,FALSE,TRUE
229,canceled,07-01-2015,14-06-2015,158,FALSE,TRUE
876,canceled,08-01-2015,11-01-2015,3,FALSE,TRUE
622,canceled,08-01-2015,15-06-2015,158,FALSE,TRUE
1065,canceled,08-01-2015,11-01-2015,3,FALSE,TRUE
884,canceled,08-01-2015,08-01-2015,0,FALSE,TRUE
730,canceled,08-01-2015,30-01-2015,22,FALSE,TRUE
905,canceled,08-01-2015,15-03-2015,66,FALSE,TRUE
356,current,09-01-2015,,,FALSE,FALSE
1164,canceled,09-01-2015,14-01-2015,5,FALSE,TRUE
170,canceled,09-01-2015,16-08-2015,219,FALSE,TRUE
467,canceled,10-01-2015,02-07-2015,173,FALSE,TRUE
780,canceled,11-01-2015,18-02-2015,38,FALSE,TRUE
418,canceled,11-01-2015,18-07-2015,188,FALSE,TRUE
1074,canceled,11-01-2015,10-03-2015,58,FALSE,TRUE
1074,canceled,10-03-2015,18-04-2015,39,FALSE,TRUE
859,canceled,11-01-2015,18-02-2015,38,FALSE,TRUE
859,canceled,15-11-2014,22-11-2014,7,FALSE,TRUE
91,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
91,current,10-03-2015,,,FALSE,FALSE
12,current,10-11-2014,,,FALSE,FALSE
3,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
3,current,10-03-2015,,,FALSE,FALSE
157,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
157,canceled,10-03-2015,17-07-2015,129,FALSE,TRUE
224,current,10-11-2014,,,FALSE,FALSE
562,current,10-11-2014,,,FALSE,FALSE
1098,current,10-11-2014,,,FALSE,FALSE
378,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
378,canceled,10-03-2015,17-04-2015,38,FALSE,TRUE
1214,canceled,10-11-2014,15-01-2015,66,FALSE,TRUE
483,canceled,10-11-2014,20-04-2015,161,FALSE,TRUE
1094,canceled,10-11-2014,17-12-2014,37,FALSE,TRUE
882,canceled,10-11-2014,17-12-2014,37,FALSE,TRUE
412,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
412,current,01-04-2015,,,FALSE,FALSE
412,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
390,current,10-11-2014,,,FALSE,FALSE
366,canceled,10-11-2014,10-03-2015,120,FALSE,TRUE
366,canceled,01-04-2015,17-04-2015,16,FALSE,TRUE
366,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
81,current,10-11-2014,,,FALSE,FALSE
696,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
696,canceled,14-01-2015,20-01-2015,6,FALSE,TRUE
892,canceled,10-11-2014,12-11-2014,2,FALSE,TRUE
1142,canceled,10-11-2014,14-01-2015,65,FALSE,TRUE
1142,canceled,10-03-2015,17-07-2015,129,FALSE,TRUE
1142,canceled,14-01-2015,10-03-2015,55,FALSE,TRUE
234,current,11-11-2014,,,FALSE,FALSE
148,canceled,11-11-2014,10-03-2015,119,FALSE,TRUE
148,canceled,01-04-2015,18-04-2015,17,FALSE,TRUE
148,canceled,10-03-2015,01-04-2015,22,FALSE,TRUE
630,canceled,11-11-2014,18-03-2015,127,FALSE,TRUE
1083,canceled,11-11-2014,12-11-2014,1,FALSE,TRUE
1011,canceled,11-11-2014,12-11-2014,1,FALSE,TRUE
1011,canceled,08-04-2015,15-05-2015,37,FALSE,TRUE
1114,canceled,12-11-2014,18-11-2014,6,FALSE,TRUE
161,canceled,12-11-2014,19-05-2015,188,FALSE,TRUE
441,canceled,12-11-2014,19-06-2015,219,FALSE,TRUE
712,canceled,13-11-2014,20-03-2015,127,FALSE,TRUE
273,current,14-11-2014,,,FALSE,FALSE
76,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
76,current,15-01-2015,,,FALSE,FALSE
76,canceled,15-11-2014,15-01-2015,61,FALSE,TRUE
938,canceled,14-11-2014,16-01-2015,63,FALSE,TRUE
131,current,14-11-2014,,,FALSE,FALSE
231,current,14-11-2014,,,FALSE,FALSE
1085,canceled,14-11-2014,18-11-2014,4,FALSE,TRUE
327,current,14-11-2014,,,FALSE,FALSE
829,canceled,15-11-2014,22-12-2014,37,FALSE,TRUE
829,canceled,14-11-2014,15-11-2014,1,FALSE,TRUE
203,canceled,15-11-2014,21-11-2014,6,FALSE,TRUE
203,canceled,12-05-2015,19-07-2015,68,FALSE,TRUE
277,current,15-11-2014,,,FALSE,FALSE
280,current,15-11-2014,,,FALSE,FALSE
308,current,16-11-2014,,,FALSE,FALSE
1239,canceled,17-11-2014,19-11-2014,2,FALSE,TRUE
1230,canceled,17-11-2014,19-11-2014,2,FALSE,TRUE
875,canceled,17-11-2014,17-11-2014,0,FALSE,TRUE
202,current,03-12-2014,,,FALSE,FALSE
563,canceled,03-12-2014,10-07-2015,219,FALSE,TRUE
1167,canceled,03-12-2014,10-01-2015,38,FALSE,TRUE
643,canceled,03-12-2014,03-02-2015,62,FALSE,TRUE
643,canceled,10-03-2015,08-04-2015,29,FALSE,TRUE
643,current,18-04-2015,,,FALSE,FALSE
643,canceled,08-04-2015,18-04-2015,10,FALSE,TRUE
643,canceled,03-02-2015,10-03-2015,35,FALSE,TRUE
110,canceled,03-12-2014,10-05-2015,158,FALSE,TRUE
244,current,04-12-2014,,,FALSE,FALSE
1289,canceled,04-12-2014,03-02-2015,61,FALSE,TRUE
1120,canceled,04-12-2014,04-12-2014,0,FALSE,TRUE
500,canceled,05-12-2014,03-02-2015,60,FALSE,TRUE
500,canceled,12-11-2014,17-11-2014,5,FALSE,TRUE
500,current,03-02-2015,,,FALSE,FALSE
728,canceled,05-12-2014,05-12-2014,0,FALSE,TRUE
209,current,05-12-2014,,,FALSE,FALSE
292,current,05-12-2014,,,FALSE,FALSE
546,current,05-12-2014,,,FALSE,FALSE
1160,canceled,05-12-2014,12-01-2015,38,FALSE,TRUE
64,canceled,06-12-2014,13-04-2015,128,FALSE,TRUE
637,canceled,06-12-2014,10-12-2014,4,FALSE,TRUE
637,canceled,10-03-2015,14-04-2015,35,FALSE,TRUE
637,canceled,06-05-2015,13-08-2015,99,FALSE,TRUE
637,canceled,07-01-2015,10-03-2015,62,FALSE,TRUE
52,canceled,07-12-2014,14-03-2015,97,FALSE,TRUE
747,canceled,07-12-2014,13-12-2014,6,FALSE,TRUE
747,current,02-04-2015,,,FALSE,FALSE
450,current,07-12-2014,,,FALSE,FALSE
111,canceled,07-12-2014,01-03-2015,84,FALSE,TRUE
